Date,Peak Load (MW),Peak Load Hour,Wind @ Peak Load (MW),Max Wind Output (MW),Max Wind Time,Penetration @ Max Wind (%),Max Penetration (%),Max Penetration Time,Wind @ Max Penetration (MW),All-Time Max Wind Output (MW),All-Time Max Output Time,All-Time Max Wind Penetration (%),All-Time Max Penetration Time,Wind @ Record Penetration (MW),Notes,Source File
1/1/2016,41153,19,2181,4807,4:29,14.4,14.4,4:29,4807,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-01-16.PDF
1/2/2016,41313,19,1231,3162,23:58,884.00%,884.00%,23:58,3162,13883,12/20/2015 11:07,4471.00%,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-02-16.PDF
1/3/2016,38528,9,2696,4135,4:04,12.13,12.14,3:53,4133,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-03-16.PDF
1/4/2016,45745,8,1256,5268,23:43,14.55,14.56,23:57,5248,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-04-16.PDF
1/5/2016,46960,8,7161,8003,22:59,21.52,21.83,23:29,7830,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-05-16.PDF
1/6/2016,41843,8,7191,8487,2:13,25.52,25.56,2:08,8455,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-06-16.PDF
1/7/2016,38099,8,7265,9863,14:16,28.66,28.67,14:32,9826,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-07-16.PDF
1/8/2016,38737,8,2726,4632,21:02,12.9,14.35,23:57,4546,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-08-16.PDF
1/9/2016,43020,20,4694,8872,6:33,26.26,28.22,4:58,8687,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-09-16.PDF
1/10/2016,45056,9,2211,4163,23:40,10.6,10.6,23:40,4163,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-10-16.PDF
1/11/2016,49254,8,3460,3946,4:24,9.89,10.15,0:00,3937,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-11-16.PDF
1/12/2016,48077,8,2462,7398,23:59,21.82,21.82,23:59,7398,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-12-16.PDF
1/13/2016,45261,8,8622,9576,23:59,29.85,29.86,23:58,9567,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-13-16.PDF
1/14/2016,40361,8,8221,11268,22:31,34.03,35.02,23:16,10927,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-14-16.PDF
1/15/2016,38644,8,4548,9962,0:06,33.66,33.66,0:06,9962,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-15-16.PDF
1/16/2016,40643,20,2349,9319,10:53,24.13,24.81,1:23,7561,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-16-16.PDF
1/17/2016,42697,9,7503,8333,7:22,19.76,21.48,22:00,8128,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-17-16.PDF
1/18/2016,46455,8,1009,12651,22:25,32.77,34.46,23:59,12168,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-18-16.PDF
1/19/2016,43818,8,12275,12595,4:26,35.12,36.46,1:36,12501,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-19-16.PDF
1/20/2016,42094,8,3533,8691,21:51,23.4,24.04,23:16,7895,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-20-16.PDF
1/21/2016,42965,20,9483,13790,15:03,35.43,35.46,15:12,13741,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-21-16.PDF
1/22/2016,47902,8,6742,8059,2:43,22.16,22.16,2:43,8059,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-22-16.PDF
1/23/2016,46377,9,6590,12888,22:52,33.98,34.78,23:59,12761,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-23-16.PDF
1/24/2016,41035,9,12284,13290,21:51,38.74,41.59,23:18,12931,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-24-16.PDF
1/25/2016,37250,20,3667,11955,0:00,40.24,40.24,0:00,11955,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-25-16.PDF
1/26/2016,43716,20,2802,8350,0:09,28.02,28.04,0:14,8307,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-26-16.PDF
1/27/2016,47026,8,3650,6635,22:16,16.56,16.86,22:47,6579,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-27-16.PDF
1/28/2016,48601,8,4284,7443,23:59,22.98,22.98,23:59,7443,13883,12/20/2015 11:07,44.71,12/20/2015 3:05,13057,N/A,ERCOT Wind Integration Report 01-28-16.PDF
