Date,Peak Load (MW),Peak Load Hour,Wind @ Peak Load (MW),Max Wind Output (MW),Max Wind Time,Penetration @ Max Wind (%),Source_File,Curtailment Proxy (MW),Wind Utilization % @ Peak,Year,Month,DayOfWeek,Is_Weekend,Load-Wind Ratio,High Wind Day,Curtailment Severity
2012-01-01,32512.0,20.0,1288.0,6326.0,00:24:00,23.99,ERCOTWindIntegrationReport_2012.xlsx,5038.0,20.36,2012,1,6,1,25.22265321955004,0,High
2012-01-02,37555.0,21.0,499.0,2604.0,23:59:00,7.84,ERCOTWindIntegrationReport_2012.xlsx,2105.0,19.16,2012,1,0,0,75.11,0,Medium
2012-01-03,44238.0,8.0,5181.0,6154.0,21:40:00,16.68,ERCOTWindIntegrationReport_2012.xlsx,973.0,84.19,2012,1,1,0,8.536858355847164,1,Low
2012-01-04,39889.0,8.0,4837.0,6598.0,01:03:00,21.46,ERCOTWindIntegrationReport_2012.xlsx,1761.0,73.31,2012,1,2,0,8.244935923935511,0,Low
2012-01-05,37981.0,8.0,321.0,6283.0,22:54:00,20.93,ERCOTWindIntegrationReport_2012.xlsx,5962.0,5.11,2012,1,3,0,117.95341614906832,0,High
2012-01-06,34324.0,8.0,5704.0,6381.0,06:19:00,19.64,ERCOTWindIntegrationReport_2012.xlsx,677.0,89.39,2012,1,4,0,6.016476774758983,1,Low
2012-01-07,32788.0,19.0,316.0,5956.0,00:20:00,22.66,ERCOTWindIntegrationReport_2012.xlsx,5640.0,5.31,2012,1,5,1,103.43217665615143,0,High
2012-01-08,34324.0,20.0,4910.0,5964.0,22:49:00,20.09,ERCOTWindIntegrationReport_2012.xlsx,1054.0,82.33,2012,1,6,1,6.989207900631236,1,Low
2012-01-09,39276.0,19.0,3067.0,6452.0,04:10:00,24.39,ERCOTWindIntegrationReport_2012.xlsx,3385.0,47.54,2012,1,0,0,12.801825293350717,0,Medium
2012-01-10,39469.0,20.0,3048.0,4620.0,23:54:00,14.44,ERCOTWindIntegrationReport_2012.xlsx,1572.0,65.97,2012,1,1,0,12.944899967202362,0,Low
2012-01-11,41447.0,8.0,5318.0,6922.0,23:59:00,23.09,ERCOTWindIntegrationReport_2012.xlsx,1604.0,76.83,2012,1,2,0,7.7922541831171275,0,Low
2012-01-12,44664.0,21.0,1900.0,7086.0,00:34:00,24.02,ERCOTWindIntegrationReport_2012.xlsx,5186.0,26.81,2012,1,3,0,23.495002630194634,0,High
2012-01-13,46926.0,8.0,1069.0,4487.0,00:00:00,12.9,ERCOTWindIntegrationReport_2012.xlsx,3418.0,23.82,2012,1,4,0,43.85607476635514,0,Medium
2012-01-14,39992.0,9.0,2966.0,5769.0,23:55:00,18.78,ERCOTWindIntegrationReport_2012.xlsx,2803.0,51.41,2012,1,5,1,13.478934951129087,0,Medium
2012-01-15,35286.0,9.0,5933.0,7063.0,22:50:00,25.07,ERCOTWindIntegrationReport_2012.xlsx,1130.0,84.0,2012,1,6,1,5.9464105156723965,1,Low
2012-01-16,34784.0,19.0,4729.0,6827.0,06:24:00,24.15,ERCOTWindIntegrationReport_2012.xlsx,2098.0,69.27,2012,1,0,0,7.353911205073996,0,Medium
2012-01-17,36927.0,20.0,2555.0,6529.0,08:20:00,20.35,ERCOTWindIntegrationReport_2012.xlsx,3974.0,39.13,2012,1,1,0,14.44718309859155,0,Medium
2012-01-18,41644.0,8.0,2218.0,5914.0,23:35:00,19.43,ERCOTWindIntegrationReport_2012.xlsx,3696.0,37.5,2012,1,2,0,18.76701216764308,0,Medium
2012-01-19,36643.0,8.0,5101.0,6100.0,00:55:00,21.09,ERCOTWindIntegrationReport_2012.xlsx,999.0,83.62,2012,1,3,0,7.182085456683653,1,Low
